Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,76639,43220,33419
Todas las edades,"Neumonía, organismo no especificado",7423,3892,3531
Todas las edades,Infarto agudo del miocardio,4810,2579,2231
Todas las edades,"Diabetes mellitus, no especificada",3891,1583,2308
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",3536,3130,406
Todas las edades,Exposición a factores no especificados,2957,2333,624
Todas las edades,Diarrea y gastroenteritis de presunto origen infeccioso,2282,1206,1076
Todas las edades,Fibrosis y cirrosis del hígado,1917,1215,702
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1836,843,993
Todas las edades,Insuficiencia cardíaca,1754,832,922
Todas las edades,"Desnutrición proteicocalórica, no especificada",1465,727,738
Todas las edades,Tumor maligno del estómago,1390,643,747
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1302,598,704
Todas las edades,Diabetes mellitus no insulinodependiente,1296,551,745
Todas las edades,Insuficiencia renal crónica,1256,664,592
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1158,964,194
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5516,2864,2652
Todas las edades,Otras causas,32850,18596,14254
Menos de 1 día,Todas las causas,76,50,26
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",14,10,4
Menos de 1 día,Dificultad respiratoria del recién nacido,11,9,2
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",9,6,3
Menos de 1 día,Síndromes de aspiración neonatal,5,1,4
Menos de 1 día,Sepsis bacteriana del recién nacido,4,2,2
Menos de 1 día,"Agresión con disparo de otras armas de fuego, y las no especificadas",4,3,1
Menos de 1 día,Neumonía congénita,3,3,0
Menos de 1 día,Anencefalia y malformaciones congénitas similares,3,1,2
Menos de 1 día,Exposición a factores no especificados,3,3,0
Menos de 1 día,Otras afecciones originadas en el período perinatal,2,0,2
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,2,1,1
Menos de 1 día,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",1,1,0
Menos de 1 día,Tumor maligno del hígado y de las vías biliares intrahepáticas,1,1,0
Menos de 1 día,"Neumonía, organismo no especificado",1,1,0
Menos de 1 día,Insuficiencia renal crónica,1,1,0
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1,0,1
Menos de 1 día,Otras causas,11,7,4
1- 6 días,Todas las causas,1374,814,560
1- 6 días,Dificultad respiratoria del recién nacido,304,181,123
1- 6 días,Síndromes de aspiración neonatal,189,99,90
1- 6 días,Sepsis bacteriana del recién nacido,111,71,40
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",109,63,46
1- 6 días,Neumonía congénita,95,60,35
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",65,42,23
1- 6 días,Asfixia del nacimiento,64,40,24
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,63,43,20
1- 6 días,Otras malformaciones congénitas del corazón,46,27,19
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,30,19,11
1- 6 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",24,13,11
1- 6 días,Anencefalia y malformaciones congénitas similares,17,10,7
1- 6 días,Hemorragia pulmonar originada en el período perinatal,16,9,7
1- 6 días,Hemorragia intracraneal no traumática del feto y del recién nacido,16,5,11
1- 6 días,Otras afecciones originadas en el período perinatal,16,12,4
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",26,14,12
1- 6 días,Otras causas,183,106,77
7 - 27 días,Todas las causas,1617,898,719
7 - 27 días,Sepsis bacteriana del recién nacido,273,147,126
7 - 27 días,Neumonía congénita,209,123,86
7 - 27 días,Dificultad respiratoria del recién nacido,183,107,76
7 - 27 días,Síndromes de aspiración neonatal,112,59,53
7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,67,42,25
7 - 27 días,Asfixia del nacimiento,59,36,23
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,56,30,26
7 - 27 días,Otras malformaciones congénitas del corazón,56,29,27
7 - 27 días,"Otras malformaciones congénitas, no clasificadas en otra parte",52,26,26
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,36,22,14
7 - 27 días,Hemorragia intracraneal no traumática del feto y del recién nacido,34,17,17
