Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,82565,46267,36298
Todas las edades,"Neumonía, organismo no especificado",6851,3652,3199
Todas las edades,Infarto agudo del miocardio,5498,2955,2543
Todas las edades,"Diabetes mellitus, no especificada",4400,1792,2608
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",3111,2727,384
Todas las edades,Exposición a factores no especificados,2941,2387,554
Todas las edades,Fibrosis y cirrosis del hígado,2647,1711,936
Todas las edades,Otras gastroenteritis y colitis de origen infeccioso y no especificado,2308,1224,1084
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1716,872,844
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1567,1310,257
Todas las edades,Insuficiencia cardíaca,1520,709,811
Todas las edades,Diabetes mellitus no insulinodependiente,1438,578,860
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1389,683,706
Todas las edades,Enfermedad renal crónica,1389,690,699
Todas las edades,Tumor maligno del estómago,1264,586,678
Todas las edades,Insuficiencia renal no especificada,1007,540,467
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",8901,4531,4370
Todas las edades,Otras causas,34618,19320,15298
Menos de 1 día,Todas las causas,421,221,200
Menos de 1 día,Dificultad respiratoria del recién nacido,87,50,37
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",70,35,35
Menos de 1 día,Asfixia del nacimiento,46,21,25
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",42,27,15
Menos de 1 día,Síndromes de aspiración neonatal,37,19,18
Menos de 1 día,Otras malformaciones congénitas del corazón,14,6,8
Menos de 1 día,Neumonía congénita,12,6,6
Menos de 1 día,Anencefalia y malformaciones congénitas similares,12,2,10
Menos de 1 día,Sepsis bacteriana del recién nacido,9,3,6
Menos de 1 día,Hipoxia intrauterina,7,1,6
Menos de 1 día,Trastornos cardiovasculares originados en el período perinatal,7,3,4
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,6,5,1
Menos de 1 día,Otras enfermedades cardiopulmonares,5,3,2
Menos de 1 día,"Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",5,4,1
Menos de 1 día,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",5,4,1
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",16,10,6
Menos de 1 día,Otras causas,41,22,19
1- 6 días,Todas las causas,2217,1304,913
1- 6 días,Dificultad respiratoria del recién nacido,465,295,170
