Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,77807,43810,33997
Todas las edades,"Neumonía, organismo no especificado",6898,3649,3249
Todas las edades,Infarto agudo del miocardio,5432,2917,2515
Todas las edades,"Diabetes mellitus, no especificada",4349,1811,2538
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",3397,3005,392
Todas las edades,Exposición a factores no especificados,2909,2330,579
Todas las edades,Fibrosis y cirrosis del hígado,2159,1392,767
Todas las edades,Diarrea y gastroenteritis de presunto origen infeccioso,2156,1142,1014
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1952,987,965
Todas las edades,Diabetes mellitus no insulinodependiente,1505,593,912
Todas las edades,Insuficiencia cardíaca,1501,693,808
Todas las edades,Tumor maligno del estómago,1426,617,809
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1337,589,748
Todas las edades,Insuficiencia renal crónica,1270,714,556
Todas las edades,"Desnutrición proteicocalórica, no especificada",1255,574,681
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1247,1030,217
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5010,2533,2477
Todas las edades,Otras causas,34004,19234,14770
Menos de 1 día,Todas las causas,115,59,56
Menos de 1 día,Dificultad respiratoria del recién nacido,15,8,7
Menos de 1 día,Síndromes de aspiración neonatal,13,5,8
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",11,8,3
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",10,8,2
Menos de 1 día,Asfixia del nacimiento,10,0,10
Menos de 1 día,Hipoxia intrauterina,4,3,1
Menos de 1 día,Trastornos cardiovasculares originados en el período perinatal,4,1,3
Menos de 1 día,Otras afecciones originadas en el período perinatal,4,1,3
Menos de 1 día,Retardo del crecimiento fetal y desnutrición fetal,3,0,3
Menos de 1 día,Neumonía congénita,3,1,2
Menos de 1 día,Anencefalia y malformaciones congénitas similares,3,2,1
Menos de 1 día,Otras malformaciones congénitas del corazón,3,2,1
Menos de 1 día,Malformaciones congénitas del pulmón,3,0,3
Menos de 1 día,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",2,1,1
Menos de 1 día,Sepsis bacteriana del recién nacido,2,1,1
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",3,2,1
Menos de 1 día,Otras causas,22,16,6
1- 6 días,Todas las causas,1587,914,673
1- 6 días,Dificultad respiratoria del recién nacido,381,233,148
1- 6 días,Síndromes de aspiración neonatal,210,107,103
1- 6 días,Sepsis bacteriana del recién nacido,129,75,54
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",124,76,48
1- 6 días,Asfixia del nacimiento,92,44,48
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",71,41,30
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,67,46,21
1- 6 días,Neumonía congénita,51,34,17
1- 6 días,Otras malformaciones congénitas del corazón,50,26,24
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,33,21,12
1- 6 días,Anencefalia y malformaciones congénitas similares,31,11,20
1- 6 días,Hemorragia pulmonar originada en el período perinatal,28,16,12
1- 6 días,Malformaciones congénitas del pulmón,18,9,9
1- 6 días,Hemorragia intracraneal no traumática del feto y del recién nacido,17,7,10
1- 6 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",17,13,4
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",40,23,17
1- 6 días,Otras causas,228,132,96
7 - 27 días,Todas las causas,1735,970,765
7 - 27 días,Sepsis bacteriana del recién nacido,331,196,135
7 - 27 días,Dificultad respiratoria del recién nacido,222,125,97
7 - 27 días,Neumonía congénita,154,78,76
7 - 27 días,Síndromes de aspiración neonatal,144,81,63
7 - 27 días,"Otras malformaciones congénitas, no clasificadas en otra parte",84,39,45
7 - 27 días,Asfixia del nacimiento,67,45,22
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,58,37,21
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,53,32,21
7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,52,21,31
7 - 27 días,Otras malformaciones congénitas del corazón,49,31,18
7 - 27 días,Hemorragia pulmonar originada en el período perinatal,42,22,20
7 - 27 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",34,20,14
7 - 27 días,Otras afecciones originadas en el período perinatal,29,13,16
7 - 27 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",29,13,16
7 - 27 días,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",28,16,12
7 - 27 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",58,29,29
7 - 27 días,Otras causas,301,172,129
28 días a menos de 1 año,Todas las causas,3905,2179,1726
28 días a menos de 1 año,"Neumonía, organismo no especificado",1053,575,478
28 días a menos de 1 año,Diarrea y gastroenteritis de presunto origen infeccioso,373,211,162
28 días a menos de 1 año,Otras septicemias,281,166,115
28 días a menos de 1 año,Otras malformaciones congénitas del corazón,205,107,98
28 días a menos de 1 año,Sepsis bacteriana del recién nacido,104,58,46
28 días a menos de 1 año,Dificultad respiratoria del recién nacido,91,57,34
28 días a menos de 1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",90,50,40
28 días a menos de 1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],68,42,26
28 días a menos de 1 año,"Desnutrición proteicocalórica, no especificada",58,26,32
28 días a menos de 1 año,Obstrucción no especificada de la respiración,58,33,25
28 días a menos de 1 año,"Desnutrición proteicocalórica severa, no especificada",51,23,28
28 días a menos de 1 año,"Neumonía bacteriana, no clasificada en otra parte",43,23,20
28 días a menos de 1 año,Síndromes de aspiración neonatal,41,24,17
28 días a menos de 1 año,Neumonía congénita,40,22,18
28 días a menos de 1 año,Asfixia del nacimiento,38,25,13
28 días a menos de 1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",235,123,112
28 días a menos de 1 año,Otras causas,1076,614,462
1 año,Todas las causas,1422,754,668
1 año,"Neumonía, organismo no especificado",361,188,173
1 año,Diarrea y gastroenteritis de presunto origen infeccioso,360,201,159
1 año,Otras septicemias,76,41,35
1 año,"Desnutrición proteicocalórica, no especificada",33,15,18
1 año,"Desnutrición proteicocalórica severa, no especificada",32,12,20
1 año,Exposición a factores no especificados,28,8,20
1 año,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",23,13,10
1 año,Obstrucción no especificada de la respiración,22,16,6
1 año,Epilepsia,16,9,7
1 año,Otras malformaciones congénitas del corazón,16,7,9
1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],15,7,8
1 año,Ahogamiento y sumersión no especificados,14,6,8
1 año,Depleción del volumen,13,10,3
1 año,Otras enfermedades del sistema digestivo,13,7,6
1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",13,7,6
1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",69,35,34
1 año,Otras causas,318,172,146
2 años,Todas las causas,524,256,268
2 años,"Neumonía, organismo no especificado",104,42,62
2 años,Diarrea y gastroenteritis de presunto origen infeccioso,93,53,40
2 años,Otras septicemias,23,11,12
2 años,"Desnutrición proteicocalórica, no especificada",17,5,12
2 años,Obstrucción no especificada de la respiración,14,5,9
2 años,Ahogamiento y sumersión no especificados,13,10,3
2 años,Exposición a factores no especificados,11,8,3
2 años,"Desnutrición proteicocalórica severa, no especificada",9,2,7
2 años,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico",9,6,3
2 años,"Exposición a humos, fuegos o llamas no especificados",9,6,3
2 años,Otras malformaciones congénitas del corazón,7,4,3
2 años,Epilepsia,6,3,3
